runs,wickets,overs,runs_last_5,wickets_last_5,total_score
61,1,5,58,1,222
68,1,6,47,1,222
73,1,7,46,1,222
77,1,8,27,1,222
87,1,9,27,1,222
102,1,10,41,0,222
112,1,11,44,0,222
124,2,12,51,1,222
130,2,13,53,1,222
154,2,14,67,1,222
158,2,15,56,1,222
172,2,16,60,1,222
179,3,17,55,1,222
200,3,18,70,1,222
222,3,19,68,1,222
26,4,5,22,4,82
33,4,6,24,3,82
38,5,7,26,3,82
43,7,8,27,5,82
51,7,9,27,4,82
56,7,10,30,3,82
59,8,11,26,4,82
70,8,12,32,3,82
77,9,13,34,2,82
81,9,14,30,2,82
82,10,15,26,3,82
53,1,5,48,1,240
62,2,6,42,2,240
70,3,7,43,2,240
83,3,8,50,2,240
88,3,9,46,2,240
107,3,10,54,2,240
127,3,11,65,1,240
133,4,12,63,1,240
143,4,13,60,1,240
161,4,14,73,1,240
169,5,15,62,2,240
183,5,16,56,2,240
200,5,17,67,1,240
215,5,18,72,1,240
240,5,19,79,1,240
63,1,5,54,1,207
69,1,6,53,1,207
84,1,7,57,1,207
97,1,8,60,1,207
110,1,9,63,1,207
115,2,10,52,1,207
127,2,11,58,1,207
141,2,12,57,1,207
152,2,13,55,1,207
165,3,14,55,2,207
176,3,15,61,1,207
186,3,16,59,1,207
191,4,17,50,2,207
198,4,18,46,2,207
207,4,19,42,1,207
40,2,5,33,2,129
44,3,6,27,3,129
48,4,7,31,3,129
51,4,8,20,2,129
57,4,9,20,2,129
59,5,10,19,3,129
71,5,11,27,2,129
80,6,12,32,2,129
87,6,13,36,2,129
96,7,14,39,3,129
106,7,15,47,2,129
110,7,16,39,2,129
111,8,17,31,2,129
121,8,18,34,2,129
129,8,19,33,1,129
55,1,5,47,1,132
59,1,6,38,0,132
71,1,7,45,0,132
78,1,8,42,0,132
86,1,9,38,0,132
95,1,10,40,0,132
100,1,11,41,0,132
111,1,12,40,0,132
115,1,13,37,0,132
128,1,14,42,0,132
132,1,15,37,0,132
47,3,5,39,3,165
54,3,6,41,2,165
60,3,7,41,2,165
72,3,8,50,1,165
74,3,9,33,1,165
81,3,10,34,0,165
94,3,11,40,0,165
97,3,12,37,0,165
99,4,13,27,1,165
105,4,14,31,1,165
118,4,15,37,1,165
129,5,16,35,2,165
149,5,17,52,2,165
158,6,18,59,2,165
165,7,19,60,3,165
40,1,5,30,1,166
46,1,6,35,1,166
54,1,7,32,1,166
69,2,8,42,2,166
76,3,9,39,2,166
80,3,10,40,2,166
94,3,11,48,2,166
104,3,12,50,2,166
109,4,13,40,2,166
118,4,14,42,1,166
126,4,15,46,1,166
136,4,16,42,1,166
155,4,17,51,1,166
163,5,18,54,1,166
166,5,19,48,1,166
39,2,5,30,2,110
45,2,6,31,2,110
47,2,7,26,2,110
48,4,8,27,3,110
52,4,9,29,2,110
57,4,10,18,2,110
59,5,11,14,3,110
62,5,12,15,3,110
65,5,13,17,1,110
77,6,14,25,2,110
82,6,15,25,2,110
102,6,16,43,1,110
105,8,17,43,3,110
110,10,18,45,5,110
26,3,5,20,3,112
33,3,6,17,2,112
34,3,7,16,1,112
35,3,8,14,1,112
38,3,9,15,0,112
49,3,10,23,0,112
64,3,11,31,0,112
68,4,12,34,1,112
77,4,13,42,1,112
81,4,14,43,1,112
87,4,15,38,1,112
90,5,16,26,2,112
103,5,17,35,1,112
112,5,18,35,1,112
54,1,5,53,1,166
59,2,6,53,2,166
70,3,7,54,3,166
73,4,8,49,4,166
82,4,9,44,3,166
85,4,10,31,3,166
97,4,11,38,2,166
101,4,12,31,1,166
112,4,13,39,0,166
115,4,14,33,0,166
128,4,15,43,0,166
136,5,16,39,1,166
138,7,17,37,3,166
149,8,18,37,4,166
166,8,19,51,4,166
53,3,5,47,3,168
60,3,6,47,2,168
65,3,7,37,1,168
76,3,8,34,1,168
87,3,9,39,0,168
99,3,10,46,0,168
102,4,11,42,1,168
114,4,12,49,1,168
127,4,13,51,1,168
142,4,14,55,1,168
152,4,15,53,1,168
154,4,16,52,0,168
164,4,17,50,0,168
168,4,18,41,0,168
25,2,5,24,2,142
34,2,6,25,1,142
36,3,7,21,2,142
43,3,8,27,2,142
45,4,9,22,3,142
54,4,10,29,2,142
60,4,11,26,2,142
62,5,12,26,2,142
68,5,13,25,2,142
73,5,14,28,1,142
82,5,15,28,1,142
90,6,16,30,2,142
116,6,17,54,1,142
128,7,18,60,2,142
142,8,19,69,3,142
48,1,5,44,1,143
55,1,6,37,1,143
60,1,7,30,1,143
83,1,8,51,0,143
95,1,9,58,0,143
100,1,10,52,0,143
112,1,11,57,0,143
142,1,12,82,0,143
143,1,13,60,0,143
53,2,5,46,2,208
59,2,6,43,2,208
64,2,7,30,2,208
72,2,8,37,1,208
82,2,9,42,0,208
96,2,10,43,0,208
112,2,11,53,0,208
123,2,12,59,0,208
137,2,13,65,0,208
143,3,14,61,1,208
158,3,15,62,1,208
168,3,16,56,1,208
182,3,17,59,1,208
194,4,18,57,2,208
208,5,19,65,2,208
52,2,5,43,1,202
57,2,6,44,1,202
68,2,7,43,1,202
75,2,8,44,0,202
83,3,9,33,1,202
90,3,10,38,1,202
99,4,11,42,2,202
110,4,12,42,2,202
130,4,13,55,2,202
134,5,14,51,2,202
147,6,15,57,3,202
168,6,16,69,2,202
181,6,17,71,2,202
190,7,18,60,3,202
202,7,19,68,2,202
58,2,5,46,2,214
61,2,6,39,2,214
72,2,7,40,0,214
78,3,8,45,1,214
85,3,9,37,1,214
99,3,10,41,1,214
108,3,11,47,1,214
118,3,12,46,1,214
129,3,13,51,0,214
148,3,14,63,0,214
160,3,15,61,0,214
171,3,16,63,0,214
186,4,17,68,1,214
203,4,18,74,1,214
214,5,19,66,2,214
73,1,5,68,1,217
82,1,6,68,1,217
98,1,7,79,0,217
110,1,8,75,0,217
114,2,9,57,1,217
121,2,10,48,1,217
126,3,11,44,2,217
134,3,12,36,2,217
139,3,13,29,2,217
159,3,14,45,1,217
176,3,15,55,1,217
186,3,16,60,0,217
192,5,17,58,2,217
